"","Hospital.name","Phone.number","Street.address","Suburb","Postcode","State","Local.Hospital.Network..LHN.","Primary.Health.Network.area..PHN.","Website","Description","Sector","Beds","Latitude","Longitude","Hospital_ID","SA2_NAME","SA2_5DIGIT","GCC_NAME"
"246","St George Hospital NSW","02 9113 1111","30 Gray Street","KOGARAH","2217","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/SGH/default.asp","Major hospital with an emergency department","Public",">500",-33.966969,151.133776,783,"Kogarah",11378,"Greater Sydney"
"247","St George Private Hospital","02 9598 5555","1 South Street","KOGARAH","2217","NSW","","","www.stgeorgeprivate.com.au","","Private","200-500",-33.966952,151.136055,785,"Kogarah",11378,"Greater Sydney"
"248","St John of God Burwood Hospital","02 9715 9200","13 Grantham Street","BURWOOD","2134","NSW","","","www.sjog.org.au/burwood","","Private","50-99",-33.869832,151.100538,793,"Burwood - Croydon",11391,"Greater Sydney"
"249","St John of God Richmond Hospital","02 4570 6100","177 Grose Vale Road","NORTH RICHMOND","2754","NSW","","","www.sjog.org.au/richmond","","Private","50-99",-33.591946,150.702473,802,"Richmond - Clarendon",11466,"Greater Sydney"
"250","St Joseph's Hospital","02 9649 8941","Normanby Road","AUBURN","2144","NSW","St Vincent's Health Network","Western Sydney","www.svhs.org.au/about-us/st-josephs-hospital","Metropolitan hospital","Public","50-99",-33.848659,151.028339,805,"Auburn - Central",11582,"Greater Sydney"
"251","St Luke's Hospital","02 9356 0200","18 Roslyn Street","POTTS POINT","2011","NSW","","","www.slc.org.au","","Private","50-99",-33.874188,151.225836,806,"Potts Point - Woolloomooloo",11333,"Greater Sydney"
"252","St Vincent’s Hospital [Darlinghurst]","02 8382 1111","390 Victoria Street","DARLINGHURST","2010","NSW","St Vincent's Health Network","Central and Eastern Sydney","www.svhs.org.au","Major hospital with an emergency department","Public","200-500",-33.879692,151.221125,810,"Darlinghurst",11329,"Greater Sydney"
"253","St Vincents Private Hospital [Lismore]","02 6627 9600","20 Dalley Street","LISMORE","2480","NSW","","","www.svh.org.au","","Private","50-99",-28.819949,153.287381,812,"Lismore",11248,"Rest of NSW"
"254","St Vincent's Private Sydney","02 8382 7111","406 Victoria Street","DARLINGHURST","2010","NSW","","","www.stvincentsprivatehospital.com.au/","","Private","200-500",-33.880698,151.219462,818,"Darlinghurst",11329,"Greater Sydney"
"255","Strathfield Private Hospital","02 9745 7444","3 Everton Road","STRATHFIELD","2135","NSW","","","www.strathfieldprivate.com.au","","Private","50-99",-33.872059,151.097544,824,"Strathfield",11575,"Greater Sydney"
"256","Sutherland Heart Clinic","02 9540 8555","Level 2, The Sutherland Hospital, The Kingsway","CARINGBAH","2229","NSW","","","www.sutherlandheartclinic.com.au","","Private","<50",-34.037931,151.114153,835,"Caringbah",11602,"Greater Sydney"
"257","Sutherland Hospital","02 9540 7111","430 Kingsway","CARINGBAH","2229","NSW","South Eastern Sydney","Central and Eastern Sydney","http://www.seslhd.health.nsw.gov.au/TSH/","Large metropolitan hospital with an emergency department","Public","200-500",-34.037288,151.115151,836,"Caringbah",11602,"Greater Sydney"
"258","Sydney Adventist Hospital","02 9487 9111","185 Fox Valley Road","WAHROONGA","2076","NSW","","","www.sah.org.au","","Private",">500",-33.733379,151.099874,839,"Wahroonga (East) - Warrawee",11412,"Greater Sydney"
"259","Sydney Children's Hospital","02 9382 1111","High Street","RANDWICK","2031","NSW","Sydney Children's Hospitals Network","Central and Eastern Sydney","www.sch.edu.au/","Specialist children's hospital with an emergency department","Public","100-199",-33.917179,151.238334,840,"Randwick - North",11569,"Greater Sydney"
"260","Sydney Day Surgery - Prince Alfred","02 9550 5600","RPAH Medical Centre - Suite 106, 100 Carillon Avenue","NEWTOWN","2042","NSW","","","http://www.curagroup.com.au/sydney-day-surgery-prince-alfred","","Private","<50",-33.8912,151.1835,841,"Newtown - Camperdown - Darlington",11332,"Greater Sydney"
"261","Sydney Dental Hospital","02 9293 3200","2 Chalmers Street","SURRY HILLS","2010","NSW","South Eastern Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/sydneydentalhospital","Specialist dental hospital","Public","<50",-33.884469,151.207811,842,"Surry Hills",11336,"Greater Sydney"
"262","Sydney Hospital / Sydney Eye Hospital","02 9382 7111","8 Macquarie Street","SYDNEY","2000","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/SHSEH/default.asp","Medium metropolitan hospital with an emergency department","Public","50-99",-33.867929,151.212575,843,"Sydney - Haymarket - The Rocks",11337,"Greater Sydney"
"263","Sydney Southwest Private Hospital","02 9821 0333","40 Bigge Street","LIVERPOOL","2170","NSW","","","www.sydneysouthwestprivatehospital.com.au","","Private","50-99",-33.917876,150.927499,844,"Liverpool",11598,"Greater Sydney"
"264","Tamara Private Hospital","02 6766 1955","2-6 Dean Street","TAMWORTH","2340","NSW","","","www.tamaraprivate.com.au/","","Private","50-99",-31.077535,150.921764,847,"Tamworth - North",11203,"Rest of NSW"
"265","Tamworth Hospital","02 6767 7700","31 Dean Street","TAMWORTH","2340","NSW","Hunter New England","Hunter New England and Central Coast","","Large regional hospital with an emergency department","Public","200-500",-31.074079,150.924199,848,"Tamworth - North",11203,"Rest of NSW"
"266","Temora Hospital","02 6980 0200","169 Loftus Street","TEMORA","2666","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-34.443942,147.542616,853,"Temora",11266,"Rest of NSW"
"267","Tenterfield Hospital","02 6739 5200","1-5 Naas Street","TENTERFIELD","2372","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-29.045083,152.013552,855,"Tenterfield",11194,"Rest of NSW"
"268","The Border Cancer Hospital","02 6064 1400","201-239 Borella Road","ALBURY","2640","NSW","","","www.bordercancerhospital.com.au","","Private","<50",-36.078399,146.938123,862,"Albury - South",11174,"Rest of NSW"
"269","The Canberra Hospital","02 5124 0000","Yamba Drive","GARRAN","2605","ACT","Australian Capital Territory","Australian Capital Territory","www.canberrahospital.act.gov.au","Major hospital with an emergency department","Public",">500",-35.345777,149.100898,864,"Garran",81102,"Australian Capital Territory"
"270","The Children's Hospital at Westmead","02 9845 0000","178 Hawkesbury Road","WESTMEAD","2145","NSW","Sydney Children's Hospitals Network","Western Sydney","www.chw.edu.au/","Specialist children's hospital with an emergency department","Public","200-500",-33.801554,150.991759,865,"Northmead",11491,"Greater Sydney"
"271","The Hills Clinic Kellyville","1300 122 144","15-17 Memorial Avenue","KELLYVILLE","2155","NSW","","","www.thehillsclinic.com.au","","Private","<50",-33.716759,150.952057,868,"Kellyville",11559,"Greater Sydney"
"272","The Hills Private Hospital","02 9639 3333","499 Windsor Road","BAULKHAM HILLS","2153","NSW","","","www.thehillsprivatehospital.com.au","","Private","50-99",-33.743476,150.9825,869,"Baulkham Hills (East)",11290,"Greater Sydney"
"273","The Skin & Cancer Foundation Australia","02 8833 3000","7 Ashley Lane","WESTMEAD","2145","NSW","","","www.skin.com.au","","Private","<50",-33.8072,150.98879,882,"Northmead",11491,"Greater Sydney"
"274","The Sydney Clinic","02 9389 8888","22-24 Murray Street","BRONTE","2024","NSW","","","www.thesydneyclinic.com.au","","Private","<50",-33.901383,151.260988,884,"Bondi - Tamarama - Bronte",11339,"Greater Sydney"
"275","The Sydney Private Hospital Incorporating the NSW Eye Centre","02 9797 0555","63 Victoria Street","ASHFIELD","2131","NSW","","","www.iphoa.com.au","","Private","50-99",-33.894,151.1299,885,"Ashfield",11390,"Greater Sydney"
"276","The Tweed Hospital","07 5536 1133","14 Powell Street","TWEED HEADS","2485","NSW","Northern NSW","North Coast","","Large metropolitan hospital with an emergency department","Public","200-500",-28.177216,153.545458,887,"Tweed Heads",11254,"Rest of NSW"
"277","Thomas Walker Hospital","02 9736 2288","Hospital Road","CONCORD WEST","2138","NSW","Sydney","Central and Eastern Sydney","","Specialist psychiatric hospital","Public","<50",-33.832336,151.097897,893,"Concord West - North Strathfield",11384,"Greater Sydney"
"278","Tibooburra Hospital","08 8091 3302","Sturt Street","TIBOOBURRA","2880","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50",-29.433211,142.012817,895,"Far West",11098,"Rest of NSW"
"279","Tingha Multi Purpose Service","02 6723 3901","Inverell Road","TINGHA","2369","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-29.950779,151.206732,897,"Inverell Region - East",11192,"Rest of NSW"
"280","Tocumwal Hospital","03 5874 2166","Adams Street","TOCUMWAL","2714","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.815407,145.568996,898,"Tocumwal - Finley - Jerilderie",11185,"Rest of NSW"
"281","Tomaree Hospital","02 4984 0700","2 Trevally Street","NELSON BAY","2315","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-32.720053,152.158858,900,"Nelson Bay Peninsula",11121,"Rest of NSW"
"282","Tottenham Multipurpose Service","02 6891 6200","Lot 10 Moondana Street","TOTTENHAM","2873","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.242711,147.358031,905,"Condobolin",11062,"Rest of NSW"
"283","Trangie Multi Purpose Service","02 6880 8200","28 Harris Street","TRANGIE","2823","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.030813,147.976355,907,"Narromine",11105,"Rest of NSW"
"284","Tresillian Care Centres","02 9787 0800","McKenzie Street","BELMORE","2192","NSW","Sydney","Central and Eastern Sydney","www.tresillian.net/","Early parenting centre","Public","50-99",-33.918732,151.097526,908,"Belmore - Belfield",11362,"Greater Sydney"
"285","Tresillian Family Care Centre, Kingswood","02 4734 2124","1b Barber Avenue","KINGSWOOD","2747","NSW","Unknown","Nepean Blue Mountains","https://www.tresillian.org.au/","Early parenting centre","Public","<50",-33.758161,150.714392,909,"Kingswood - Werrington",11462,"Greater Sydney"
"286","Trundle Multi Purpose Health Service","02 6892 1900","44 Brookview Street","TRUNDLE","2875","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.921078,147.704315,910,"Parkes Region",11068,"Rest of NSW"
"287","Tullamore Multi Purpose Health Service","02 6891 3100","1 Hinkler Street","TULLAMORE","2874","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.635114,147.568997,911,"Condobolin",11062,"Rest of NSW"
"288","Tumbarumba Multi Purpose Service","02 6948 9600","4 Mitchell Street","TUMBARUMBA","2653","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.778706,148.006203,913,"Tumbarumba",11260,"Rest of NSW"
"289","Tumut Hospital","02 6947 0800","105 Simpson Street","TUMUT","2720","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-35.307265,148.219552,915,"Tumut",11261,"Rest of NSW"
"290","Tweed Day Surgery","07 5599 5522","38-44 Boyd Street","TWEED HEADS","2485","NSW","","","www.tweeddaysurgery.com.au","","Private","<50",-28.179019,153.539989,917,"Tweed Heads",11254,"Rest of NSW"
"291","Ulladulla Endoscopy and Medical Centre","02 4455 5422","111 Princes Highway","ULLADULLA","2539","NSW","","","www.ulladullaendoscopy.com.au","","Private","<50",-35.358764,150.473481,918,"Ulladulla",11282,"Rest of NSW"
"292","Urana Multi Purpose Service","02 6920 8106","127-129 Princess Street","URANA","2645","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.325419,146.267316,921,"Corowa Region",11181,"Rest of NSW"
"293","Urbenville Multi Purpose Service","02 6634 1600","45 Beaury Street","URBENVILLE","2475","NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50",-28.471511,152.543029,922,"Tenterfield",11194,"Rest of NSW"
"294","Vegetable Creek Multi Purpose Service Emmaville","02 6734 7900","13-33 Glen Innes Road","EMMAVILLE","2371","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-29.450547,151.599204,924,"Glen Innes",11190,"Rest of NSW"
"295","Vision Day Surgery Chatswood","02 9424 9999","Level 3, 270 Victoria Avenue","CHATSWOOD","2067","NSW","","","www.visioneyeinstitute.com.au","","Private","",-33.795181,151.187314,929,"Chatswood (East) - Artarmon",11398,"Greater Sydney"
"296","Vision Day Surgery Hurstville","02 9585 2585","8-10 Woniora Road","HURSTVILLE","2220","NSW","","","www.visioneyeinstitute.com.au","","Private","",-33.966949,151.100439,932,"Hurstville",11368,"Greater Sydney"
"297","Wagga Endoscopy Centre","02 6921 2711","50 Best Street","WAGGA WAGGA","2650","NSW","","","http://www.curagroup.com.au/wagga-endoscopy-centre","","Private","<50",-35.115815,147.365914,935,"Wagga Wagga - West",11270,"Rest of NSW"
"298","Wagga Wagga Hospital","02 5943 1000","260-280 Edward Street","WAGGA WAGGA","2650","NSW","Murrumbidgee","Murrumbidgee","","Large regional hospital with an emergency department","Public","200-500",-35.118083,147.356915,936,"Wagga Wagga - West",11270,"Rest of NSW"
"299","Walcha Multi Purpose Service","02 6774 2366","Middle Street","WALCHA","2354","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.987818,151.591415,940,"Walcha",11189,"Rest of NSW"
"300","Walgett Multipurpose Service","02 6828 6000","141 Fox Street","WALGETT","2832","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-30.030646,148.115959,942,"Walgett - Lightning Ridge",11096,"Rest of NSW"
"301","War Memorial Hospital","02 9369 0100","125 Birrell Street","WAVERLEY","2024","NSW","South Eastern Sydney","Central and Eastern Sydney","www.wmhw.org.au/","Specialist rehabilitation hospital","Public","<50",-33.897496,151.253816,945,"Bondi Junction - Waverly",11341,"Greater Sydney"
"302","Waratah Private Hospital","02 9598 0000","31 Dora Street","HURSTVILLE","2220","NSW","","","www.surgeryaustralia.com.au","","Private","50-99",-33.963651,151.100464,946,"Hurstville",11368,"Greater Sydney"
"303","Warialda Multi Purpose Service","02 6728 9000","Long Street","WARIALDA","2402","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-29.538835,150.579567,947,"Inverell Region - West",11193,"Rest of NSW"
"304","Warners Bay Private Hospital","02 4958 4288","Fairfax Road","WARNERS BAY","2282","NSW","","","","","Private","50-99",-32.965262,151.641204,948,"Warners Bay - Boolaroo",11214,"Rest of NSW"
"305","Warren Multi Purpose Service","02 6847 7200","Lot 176 Dr Kater Drive","WARREN","2824","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.693958,147.835679,950,"Nyngan - Warren",11095,"Rest of NSW"
"306","Wauchope Hospital","02 6580 8000","69 High Street","WAUCHOPE","2446","NSW","Mid North Coast","North Coast","","Small hospital","Public","<50",-31.457239,152.728131,953,"Wauchope",11166,"Rest of NSW"
"307","Wee Waa Hospital","02 6795 0400","60 Alma Street","WEE WAA","2388","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.225439,149.448287,955,"Narrabri Region",11198,"Rest of NSW"
"308","Wellington Health Service","02 6840 8200","30 Thornton Street","WELLINGTON","2820","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.549741,148.951977,957,"Wellington",11106,"Rest of NSW"
"309","Wentworth Hospital","03 5027 7111","Silver City Highway","WENTWORTH","2648","NSW","Far West","Western NSW","www.wentworth.nsw.gov.au/services/healthdir.php","Regional hospital","Public","<50",-34.109983,141.922481,958,"Wentworth - Buronga",11178,"Rest of NSW"
"310","Wentworth Psychiatric Services","02 4734 2000","Derby Street","PENRITH","2750","NSW","Nepean Blue Mountains","Nepean Blue Mountains","","Metropolitan hospital","Public","<50",-33.760249,150.712613,959,"Penrith",11464,"Greater Sydney"
"311","Werris Creek Hospital","02 6768 6600","22-34 North Street","WERRIS CREEK","2341","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-31.346691,150.652513,961,"Quirindi",11201,"Rest of NSW"
"312","Wesley Hospital Ashfield","1300 924 522","91 Milton Street","ASHFIELD","2131","NSW","","","https://www.wesleymission.org.au/find-a-service/mental-health-and-hospitals/wesley-hospitals/wesley-hospital-ashfield","","Private","<50",-33.8925,151.116666,962,"Ashfield",11390,"Greater Sydney"
"313","Wesley Hospital Kogarah","1300 924 522","7 Blake Street","KOGARAH","2217","NSW","","","https://www.wesleymission.org.au/find-a-service/mental-health-and-hospitals/wesley-hospitals/wesley-hospital-kogarah","","Private","<50",-33.968262,151.12896,963,"Kogarah",11378,"Greater Sydney"
"314","Western Sydney Oncology & Infusion Centre","02 8837 9800","Westmead Specialist Centre Level 2, 16-18 Mons Road","WESTMEAD","2145","NSW","","","www.westernsydneyoncology.com.au","","Private","",-33.802024,150.982879,977,"Northmead",11491,"Greater Sydney"
"315","Westmead Hospital","02 8890 5555","166-174 Darcy Road","WESTMEAD","2145","NSW","Western Sydney","Western Sydney","www.wslhd.health.nsw.gov.au/Westmead-Hospital","Major hospital with an emergency department","Public",">500",-33.804362,150.987811,978,"Northmead",11491,"Greater Sydney"
"316","Westmead Private Hospital","02 8837 9000","Corner of Mons and Darcy Roads","WESTMEAD","2145","NSW","","","www.westmeadprivate.com.au/","","Private","100-199",-33.802865,150.982382,979,"Northmead",11491,"Greater Sydney"
"317","Westmead Rehabilitation Hospital","02 8833 3555","7 Coleman Street","MERRYLANDS","2160","NSW","","","www.pulsehealth.net.au","","Private","50-99",-33.819288,150.981059,980,"Merrylands - Holroyd",11485,"Greater Sydney"
"318","Wilcannia Multi Purpose Service","08 8083 8777","14 Ross Street","WILCANNIA","2836","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.557638,143.385336,983,"Far West",11098,"Rest of NSW"
"319","Wilson Memorial Community Hospital, Murrurundi","02 6546 9000","59 O'Connell Street","MURRURUNDI","2338","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-31.770408,150.834764,985,"Scone Region",11129,"Rest of NSW"
"320","Wingham Hospital","02 6557 3400","32 Bungay Road","WINGHAM","2429","NSW","Hunter New England","Hunter New England and Central Coast","","Specialist rehabilitation hospital","Public","<50",-31.878104,152.365179,988,"Wingham",11171,"Rest of NSW"
"321","Wollongong Day Surgery","02 4226 6955","354-358 Crown Street","WOLLONGONG","2500","NSW","","","www.wollongongdaysurgery.com.au","","Private","",-34.42583,150.881346,990,"Wollongong - East",11548,"Rest of NSW"
"322","Wollongong Hospital","02 4222 5000","348 Crown Street","WOLLONGONG","2500","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Wollongong_Hospital/default.asp","Major hospital with an emergency department","Public","200-500",-34.424938,150.883451,991,"Wollongong - East",11548,"Rest of NSW"
"323","Wollongong Private Hospital","02 4286 1000","360-364 Crown Street","WOLLONGONG","2500","NSW","","","http://www.wollongongprivate.com.au","","Private","100-199",-34.425814,150.880729,992,"Wollongong - East",11548,"Rest of NSW"
"324","Wolper Jewish Hospital","02 9328 6077","8 Trelawney Street","WOOLLAHRA","2025","NSW","","","www.wolper.com.au","","Private","50-99",-33.884118,151.240739,993,"Woollahra",11347,"Greater Sydney"
"325","Woy Woy Hospital","02 4344 8444","7 Kathleen Street","WOY WOY","2256","NSW","Central Coast","Hunter New England and Central Coast","http://www.cclhd.health.nsw.gov.au/Pages/Contact-us.aspx","Metropolitan hospital","Public","50-99",-33.496716,151.320952,999,"Woy Woy - Blackwall",11042,"Greater Sydney"
"326","Wyalong Hospital","02 6979 0000","70 Ungarie Road","WEST WYALONG","2671","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-33.916373,147.196483,1002,"West Wyalong",11069,"Rest of NSW"
"327","Wyong Hospital","02 4394 8000","664 Pacific Highway","HAMLYN TERRACE","2259","NSW","Central Coast","Hunter New England and Central Coast","www.cclhd.health.nsw.gov.au/","Large metropolitan hospital with an emergency department","Public","200-500",-33.261113,151.480761,1004,"Warnervale - Wadalba",11056,"Greater Sydney"
"328","Yass Hospital","02 6220 2000","145-147 Meehan Street","YASS","2582","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-34.844072,148.906427,1008,"Yass",11541,"Rest of NSW"
"329","Young Hospital","02 6382 8888","68 Allanan Street","YOUNG","2594","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-34.320383,148.288457,1011,"Young",11543,"Rest of NSW"
